gene	mean	median	longest_isoform	merged
ENSG00000290825.1_1	1657	1657	1657	1657
ENSG00000223972.6_6	632	632	632	632
ENSG00000227232.5_5	1351	1351	1351	1351
ENSG00000243485.5_11	623	623	712	1021
ENSG00000237613.2_6	1187	1187	1187	1187
ENSG00000268020.3_5	840	840	840	840
ENSG00000290826.1_1	1414	1414	1414	1414
ENSG00000240361.3_7	939	939	939	939
ENSG00000186092.7_9	2618	2618	2618	2618
ENSG00000238009.6_14	1737	1737	2748	3317
ENSG00000239945.1_12	1319	1319	1319	1319
ENSG00000233750.3_7	3812	3812	3812	3812
ENSG00000237683.5	2661	2661	2661	2661
ENSG00000268903.1_9	755	755	755	755
ENSG00000269981.1_9	284	284	284	284
ENSG00000239906.1_10	323	323	323	323
ENSG00000241860.7_11	2327	1301	4860	6571
ENSG00000222623.1	104	104	104	104
ENSG00000241599.1_10	457	457	457	457
ENSG00000228463.4	2257	2257	2257	2257
ENSG00000286448.1_3	736	736	736	736
ENSG00000235249.1	995	995	995	995
ENSG00000236601.1	607	607	607	607
ENSG00000236743.1	676	676	676	676
ENSG00000230021.10_10	660	891	906	1570
ENSG00000235146.2_8	607	607	607	607
ENSG00000225972.1_5	372	372	372	372
ENSG00000225630.1_5	1044	1044	1044	1044
ENSG00000237973.1_7	1543	1543	1543	1543
ENSG00000229344.1_5	682	682	682	682
ENSG00000240409.1_5	207	207	207	207
ENSG00000248527.1_7	681	681	681	681
ENSG00000198744.5_7	547	547	547	547
ENSG00000268663.1_7	424	424	424	424
ENSG00000284662.2_8	939	939	939	939
ENSG00000229376.3_7	2455	2455	2455	2455
ENSG00000291215.1_3	6469	6469	6469	6469
ENSG00000235373.1	4860	4860	4860	4860
ENSG00000223181.1	104	104	104	104
ENSG00000229905.1_8	456	456	456	456
ENSG00000228327.6_15	417	417	417	417
ENSG00000237491.10_14	1552	1289	2949	5305
ENSG00000285268.1_5	114	114	114	114
ENSG00000290784.1_3	872	872	872	872
ENSG00000230092.8_11	238	238	238	238
ENSG00000177757.2_6	1947	1947	1947	1947
ENSG00000225880.6_9	3312	3312	3312	3312
ENSG00000228794.12_12	3373	1940	8389	10596
ENSG00000288531.1_5	2289	2289	2509	3292
ENSG00000230368.2_6	1155	1155	1807	1971
ENSG00000234711.1_5	1058	1058	1058	1058
ENSG00000283040.1_10	837	837	837	837
ENSG00000272438.1_9	351	351	351	351
ENSG00000230699.2_9	3043	3043	3043	3043
ENSG00000241180.1_11	443	443	443	443
ENSG00000223764.2_10	1389	1389	1389	1389
ENSG00000187634.13_15	3163	3465	3468	3586
ENSG00000188976.11_8	2757	2757	2757	2757
ENSG00000187961.15_9	2567	2567	2567	2567
ENSG00000187583.11_12	2608	2455	3176	3332
ENSG00000187642.10_12	3016	3035	3520	3544
ENSG00000272512.1_8	2086	2086	2086	2086
ENSG00000188290.11_13	864	885	1040	1040
ENSG00000187608.10_11	712	712	787	867
ENSG00000231702.2_9	154	154	154	154
ENSG00000224969.1_10	471	471	471	471
ENSG00000188157.15_8	7360	7360	7394	7397
ENSG00000242590.1_9	402	402	402	402
ENSG00000291156.1_3	1152	1152	1152	1152
ENSG00000273443.1_10	829	829	829	829
ENSG00000217801.13_12	1219	1219	1219	1219
ENSG00000237330.3_8	1900	1900	1900	1900
ENSG00000131591.18_14	1920	2078	2429	3105
ENSG00000285812.1_4	1095	1095	1095	1095
ENSG00000223823.1_6	1620	1620	1620	1620
